"Sub.Num"	"Disambiguation"	"Disambiguation_n"	"Disambiguation_sd"	"Familiar"	"Familiar_n"	"Familiar_sd"	"Retention"	"Retention_n"	"Retention_sd"
"23444"	0.698690351523614	4	0.358972525175829	0.624320649735963	9	0.30795765345395	0.571749887539361	3	0.496538771669739
"5278"	0.8385391583534	5	0.155919419006601	0.599386237913502	11	0.279689064448979	0.422379730002235	3	0.24663056585694
"6478"	0.635632183908046	2	0.00325106566062786	0.753812339821179	7	0.250655878329804	0.402323376007586	2	0.246431239531585
"6685"	0.610187688787973	7	0.326455115699495	0.51034368047355	15	0.30695507733936	0.64655860950829	6	0.345560081064559
"6763"	0.360661493115854	6	0.204434857392632	0.583492530897261	12	0.299468842930667	0.703652230122818	5	0.35180450607883
"6800"	0.504137963968201	6	0.24653932400758	0.542136186626893	9	0.327120406746869	NA	NA	NA
"6816"	0.655817244973531	7	0.339339830487459	0.798692190789051	9	0.0925464942013535	0.5902265379229	4	0.182297403431809
"6829"	0.703085839598998	2	0.0725493329694844	0.528136653445025	7	0.370902438589074	0.789033189033189	2	0.226927197887285
"6835"	0.799435028248588	3	0.00489279889143749	0.517646136538334	5	0.276659565927455	NA	NA	NA
"6851"	0.711904761904762	2	0.171725932573876	0.785602889915836	12	0.270207666202906	0.726228632478632	3	0.388759998335233
"6854"	0.657721280602637	6	0.372506302849627	0.631168498656256	12	0.235738903300526	0.57843137254902	5	0.427455477580228
"6858"	0.62802281901197	8	0.316965264477864	0.649058318083264	13	0.21374812082095	0.481651376146789	4	0.556969648650874
"6893"	0.580907835762363	5	0.254506401549166	0.630292187794188	9	0.170821608641237	0.273670900964479	3	0.262320791950602
"6896"	0.301447179625146	4	0.0801541810705132	0.495663890650363	11	0.371772549967973	0.483112003868616	3	0.15930645294025
"6915"	0.555086323235144	3	0.297321195375079	0.537494159112838	10	0.108488146293442	0.280926064892749	3	0.332052316321776
"6921"	0.606324646064589	7	0.332146195819442	0.581172155322818	10	0.28157325181377	0.666666666666667	3	0.577350269189626
"6950"	0.718238321384422	5	0.252885583675739	0.693816675599177	11	0.218450070424428	0.460221376686268	2	0.0995477204921912
"6975"	0.856951560316721	4	0.171391659164148	0.773016171469283	6	0.201293617471219	0.571826747892181	3	0.179363613502626
"7001"	0.296263653022423	6	0.302942959635074	0.482168985551988	12	0.34107530717872	0.406599607907803	3	0.10175645871626
"7020"	0.587603527648551	4	0.275257234684902	0.497969349510108	7	0.406914703772039	0.487108509965201	2	0.323130574319509
"7040"	0.779008114811651	6	0.106271848253106	0.599218111287223	11	0.298724481388763	0.957446808510638	1	NA
"7077"	0.7659027305045	2	0.055729919521699	0.575929979759887	6	0.364170322187365	0.956521739130435	1	NA
"7804"	0.744662004662005	5	0.314630989008406	0.626317319295092	7	0.23251371282167	0.898692810457516	3	0.175469199459592
